Store,Item,Per,Total,Date,Type,Brand
Sprouts,Collard Greens,3.99,3.99,7/17/20,Produce,Nature's Greens
Sprouts,Garlic,0.5,1,7/17/20,Produce,Sprouts
Sprouts,Hass Avocado,0.77,4.62,7/17/20,Produce,Sprouts
Sprouts,Zuchini,1.49,2.83,7/17/20,Produce,Sprouts
Sprouts,Organic Carrots,0.99,2.23,7/17/20,Produce,Sprouts
Sprouts,Roma Tomatoes,0.99,0.53,7/17/20,Produce,Sprouts
Sprouts,Yellow Bananas,0.55,1.94,7/17/20,Produce,Sprouts
Sprouts,Yellow Onions,0.89,3.29,7/17/20,Produce,Sprouts
Sprouts,Penut Butter,7.99,7.99,7/17/20,Grocery,Justin's
Sprouts,Brown Sugar,3.49,3.49,7/17/20,Grocery,Sprouts
Sprouts,Rolled Oats,7.99,7.99,7/17/20,Grocery,Bob's Red Mill
Sprouts,Cage Free Eggs,3.99,3.99,7/17/20,Dairy,Egglands
Sprouts,Pepper Jack Cheese,4.96,4.96,7/17/20,Deli,Sprouts
Publix,White Vinegar,2.29,2.29,7/17/20,NA,Publix
Publix,Hot Sauce,5.19,5.19,7/17/20,NA,Frank's
Publix,Quinoa,8.99,8.99,7/17/20,NA,NEC
Publix,Garbonzo Beans,1.99,2.98,7/17/20,NA,Publix
Publix,Toothpaste,5.49,5.49,7/17/20,NA,Tom's
Publix,Energy / Protein Bar,1.25,1.25,7/17/20,NA,Larabar
Publix,Garlic Powder,4.99,4.99,7/17/20,NA,Publix
,,,,,,